,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[338],0.603,0.139,0.341,0.853,0.001,0.002,9020.0,4838.0,1.0
p[339],0.893,0.06,0.785,0.982,0.001,0.001,8595.0,4237.0,1.0
p[340],0.469,0.137,0.22,0.721,0.001,0.002,8683.0,4450.0,1.0
p[341],0.704,0.117,0.491,0.906,0.001,0.001,9218.0,4900.0,1.0
p[342],0.658,0.126,0.423,0.882,0.001,0.002,9996.0,4010.0,1.0
p[343],0.783,0.1,0.595,0.95,0.001,0.001,8993.0,4645.0,1.0
p[344],0.712,0.114,0.5,0.909,0.001,0.001,8245.0,5220.0,1.0
p[345],0.218,0.116,0.028,0.431,0.002,0.001,5275.0,4238.0,1.0
p[346],0.789,0.095,0.615,0.952,0.001,0.001,7881.0,4616.0,1.0
p[347],0.862,0.08,0.715,0.979,0.001,0.001,8816.0,5140.0,1.0
p[348],0.413,0.137,0.172,0.683,0.002,0.002,8170.0,4359.0,1.0
p[349],0.653,0.125,0.423,0.874,0.001,0.002,8985.0,4609.0,1.0
p[350],0.623,0.128,0.368,0.848,0.001,0.002,10073.0,4653.0,1.0
p[351],0.745,0.105,0.544,0.921,0.001,0.001,8784.0,4682.0,1.0
p[352],0.574,0.133,0.324,0.815,0.001,0.002,9362.0,4341.0,1.0
p[353],0.847,0.08,0.692,0.971,0.001,0.001,8309.0,4679.0,1.0
p[354],0.797,0.094,0.626,0.953,0.001,0.001,8930.0,3679.0,1.0
p[355],0.528,0.14,0.266,0.775,0.002,0.001,8129.0,4949.0,1.0
p[356],0.368,0.128,0.132,0.598,0.001,0.002,8482.0,4621.0,1.0
p[357],0.492,0.133,0.244,0.734,0.001,0.001,8621.0,5328.0,1.0
p[358],0.648,0.128,0.408,0.868,0.001,0.001,8753.0,5071.0,1.0
p[359],0.244,0.113,0.054,0.452,0.001,0.001,5894.0,4811.0,1.0
p[360],0.258,0.104,0.073,0.451,0.001,0.001,8812.0,5353.0,1.0
p[361],0.593,0.129,0.353,0.829,0.001,0.001,7407.0,4321.0,1.0
p[362],0.847,0.108,0.647,0.99,0.001,0.002,7567.0,5096.0,1.0
p[363],0.424,0.13,0.186,0.671,0.001,0.002,8668.0,4774.0,1.0
p[364],0.662,0.127,0.427,0.889,0.001,0.001,7954.0,4353.0,1.0
p[365],0.766,0.122,0.55,0.969,0.002,0.002,6900.0,4638.0,1.0
p[366],0.392,0.126,0.165,0.628,0.001,0.002,9067.0,4621.0,1.0
p[367],0.596,0.142,0.33,0.849,0.002,0.002,7365.0,4706.0,1.0
p[368],0.325,0.119,0.113,0.545,0.001,0.001,8252.0,4751.0,1.0
p[369],0.497,0.136,0.253,0.758,0.001,0.002,8720.0,4461.0,1.0
p[370],0.288,0.114,0.098,0.51,0.001,0.002,8779.0,5072.0,1.0
p[371],0.605,0.13,0.361,0.84,0.001,0.002,8910.0,4632.0,1.0
